canonical_id,source,class_folder,n_images,top_cross_source_match,top_cross_source_cosine,second_cross_source_match,second_cosine,needs_review
26,bsld_45,e,60,bdsl_mnist:17,0.6265,bdsl_mnist:16,0.6228,1
27,bsld_45,f,60,bdsl_mnist:29,0.5796,bdsl_mnist:26,0.5773,1
28,bsld_45,g,60,bdsl_mnist:9,0.5878,bdsl_mnist:28,0.5770,1
29,bsld_45,j,60,bdsl_mnist:9,0.5911,bdsl_mnist:22,0.5760,1
29,bsld_45,kh,60,bdsl_mnist:9,0.5624,bdsl_mnist:19,0.5386,1
29,bsld_45,rh,60,bdsl_mnist:9,0.5614,bdsl_mnist:19,0.5539,1
30,bsld_45,ng,60,bdsl_mnist:9,0.5716,bdsl_mnist:22,0.5598,1
31,bsld_45,s,60,bdsl_mnist:29,0.5869,bdsl_mnist:9,0.5824,1
31,bsld_45,v,60,bdsl_mnist:9,0.6144,bdsl_mnist:22,0.6029,1
32,bdsl49_recognition,0,60,bdsl47_letters:Sign 21,0.8510,bdsl47_digits:Sign 5,0.8281,1
32,bdsl49_recognition,1,60,bdsl47_letters:Sign 21,0.8532,bdsl47_letters:Sign 31,0.8422,1
32,bdsl49_recognition,2,60,bdsl47_letters:Sign 21,0.8581,bdsl47_digits:Sign 5,0.8231,1
32,bdsl49_recognition,3,60,bdsl47_letters:Sign 21,0.8627,bdsl47_digits:Sign 8,0.8278,1
32,bdsl49_recognition,4,60,bdsl47_letters:Sign 21,0.8510,bdsl47_digits:Sign 8,0.8132,1
32,bdsl49_recognition,40,60,bdsl47_letters:Sign 21,0.8303,bdsl47_digits:Sign 5,0.8148,1
32,bdsl49_recognition,41,60,bdsl47_letters:Sign 21,0.7851,bdsl47_digits:Sign 5,0.7654,1
32,bdsl49_recognition,44,60,bdsl47_letters:Sign 21,0.8041,bdsl47_letters:Sign 32,0.7882,1
32,bdsl49_recognition,5,60,bdsl47_letters:Sign 21,0.8768,bdsl47_digits:Sign 5,0.8557,1
33,bdsl49_recognition,10,60,bdsl47_letters:Sign 22,0.7325,bdsl47_letters:Sign 15,0.7248,1
34,bdsl49_recognition,11,60,bdsl47_letters:Sign 23,0.7634,bdsl47_letters:Sign 15,0.7633,1
34,bdsl49_recognition,14,60,bdsl47_letters:Sign 3,0.7437,bdsl47_letters:Sign 23,0.7322,1
34,bdsl49_recognition,16,60,bdsl47_letters:Sign 22,0.7544,bdsl47_letters:Sign 23,0.7488,1
34,bdsl49_recognition,17,60,bdsl47_letters:Sign 3,0.7187,bdsl47_letters:Sign 23,0.7178,1
34,bdsl49_recognition,18,60,bdsl47_letters:Sign 3,0.7208,bdsl47_letters:Sign 22,0.7179,1
34,bdsl49_recognition,22,60,bdsl47_letters:Sign 22,0.7158,bdsl47_letters:Sign 3,0.7083,1
34,bdsl49_recognition,34,60,bdsl47_letters:Sign 3,0.7068,bdsl47_letters:Sign 22,0.6957,1
34,bdsl49_recognition,6,60,bdsl47_letters:Sign 21,0.7969,bdsl47_letters:Sign 32,0.7800,1
34,bdsl49_recognition,9,60,bdsl47_letters:Sign 22,0.7383,bdsl47_letters:Sign 3,0.7352,1
35,bdsl49_recognition,12,60,bdsl47_letters:Sign 3,0.7199,bdsl47_letters:Sign 22,0.7098,1
36,bdsl49_recognition,13,60,bdsl47_letters:Sign 23,0.7923,bdsl47_letters:Sign 22,0.7840,1
36,bdsl49_recognition,23,60,bdsl47_letters:Sign 23,0.7767,bdsl47_letters:Sign 21,0.7555,1
37,bdsl49_recognition,15,60,bdsl47_letters:Sign 3,0.6430,bdsl47_letters:Sign 22,0.6341,1
38,bdsl49_recognition,19,60,bdsl47_letters:Sign 23,0.8362,bdsl47_letters:Sign 22,0.8218,1
39,bdsl49_recognition,20,60,bdsl47_letters:Sign 2,0.7027,bdsl47_letters:Sign 24,0.6909,1
